Michigan,2004,Male,23,Black,Unknown,Unknown,0,Unknown,No
California,2004,Male,20,White,Not Hispanic,Male,25,White,Yes
Illinois,2004,Female,38,Black,Unknown,Male,39,Black,Yes
Wisconsin,2004,Male,39,Black,Unknown,Male,49,White,Yes
Nevada,2004,Female,34,White,Unknown,Male,33,White,Yes
New Jersey,2004,Male,28,Black,Unknown,Male,18,Black,Yes
Maryland,2004,Female,57,White,Unknown,Female,59,Black,Yes
California,2004,Male,38,White,Hispanic,Male,40,White,Yes
Ohio,2004,Male,38,White,Unknown,Unknown,0,Unknown,No
Michigan,2004,Male,27,Black,Unknown,Male,26,Black,Yes
California,2004,Male,28,White,Hispanic,Male,25,White,Yes
Texas,2004,Male,27,Black,Not Hispanic,Unknown,0,Unknown,No
Texas,2004,Male,7,Black,Not Hispanic,Male,36,Black,Yes
Florida,2004,Male,51,White,Unknown,Male,55,White,Yes
Louisiana,2004,Male,31,Black,Unknown,Unknown,0,Unknown,No
Texas,2004,Female,16,Black,Not Hispanic,Female,17,Black,Yes
Michigan,2004,Male,52,Black,Unknown,Unknown,0,Unknown,No
Alaska,2004,Male,18,Black,Unknown,Female,45,White,Yes
Michigan,2004,Male,36,Black,Unknown,Unknown,0,Unknown,No
Texas,2004,Male,30,White,Not Hispanic,Male,20,White,Yes
New York,2004,Male,52,White,Unknown,Unknown,0,Unknown,No
Arizona,2004,Female,99,Unknown,Unknown,Unknown,0,Unknown,No
New York,2004,Male,15,Black,Unknown,Male,16,Black,Yes
Oklahoma,2004,Female,47,White,Unknown,Male,0,Black,Yes
Michigan,2004,Female,19,Black,Unknown,Unknown,0,Unknown,No
Colorado,2004,Male,19,White,Unknown,Unknown,0,Unknown,No
Pennsylvania,2004,Male,45,Black,Not Hispanic,Male,0,Black,Yes
California,2004,Male,21,Black,Not Hispanic,Male,26,Black,Yes
Maryland,2004,Male,42,Black,Unknown,Male,27,Black,Yes
Arizona,2004,Female,0,White,Unknown,Unknown,0,Unknown,No
Arizona,2004,Male,18,White,Hispanic,Male,21,White,Yes
Florida,2004,Male,31,Black,Unknown,Unknown,0,Unknown,No
Washington,2004,Female,27,Black,Unknown,Male,31,Black,Yes
Texas,2004,Male,31,White,Not Hispanic,Unknown,0,Unknown,No
Pennsylvania,2004,Male,22,White,Hispanic,Male,23,White,Yes
District of Columbia,2004,Male,17,Black,Not Hispanic,Unknown,0,Unknown,No
Texas,2004,Male,17,White,Unknown,Male,33,Black,Yes
California,2004,Male,27,White,Hispanic,Male,44,White,Yes
Florida,2004,Female,45,Black,Unknown,Unknown,0,Unknown,No
Texas,2004,Male,17,White,Not Hispanic,Male,34,Black,Yes
Kentucky,2004,Male,66,White,Unknown,Female,44,White,Yes
Michigan,2004,Male,26,Black,Unknown,Male,29,Black,Yes
Pennsylvania,2004,Male,32,Black,Not Hispanic,Male,21,Black,Yes
California,2004,Male,32,Asian/Pacific Islander,Not Hispanic,Unknown,0,Unknown,No
Texas,2004,Male,31,Black,Not Hispanic,Male,14,Black,Yes
Texas,2004,Male,63,White,Not Hispanic,Male,47,White,Yes
Washington,2004,Male,43,Black,Unknown,Male,43,White,Yes
Mississippi,2004,Female,36,White,Unknown,Male,43,White,Yes
Mississippi,2004,Male,29,Black,Unknown,Male,30,Black,Yes
Arizona,2004,Male,29,White,Hispanic,Male,24,White,Yes
Pennsylvania,2004,Male,14,Black,Unknown,Unknown,0,Unknown,No
Florida,2004,Male,23,Black,Unknown,Male,18,Black,Yes
Minnesota,2004,Male,34,Black,Unknown,Male,41,Black,Yes
Florida,2004,Male,15,Black,Unknown,Unknown,0,Unknown,No
Indiana,2004,Male,61,Black,Unknown,Female,45,Black,Yes
Colorado,2004,Male,34,White,Unknown,Unknown,0,Unknown,No
Arizona,2004,Male,19,White,Hispanic,Male,21,White,Yes
Kentucky,2004,Male,59,White,Unknown,Male,36,White,Yes
North Carolina,2004,Male,26,Black,Unknown,Male,67,Black,Yes
New Mexico,2004,Male,40,White,Unknown,Female,31,White,Yes
New York,2004,Male,36,Black,Unknown,Unknown,0,Unknown,No
California,2004,Male,20,White,Hispanic,Male,27,White,Yes
Ohio,2004,Female,63,Black,Unknown,Male,80,Black,Yes
Texas,2004,Male,28,White,Not Hispanic,Male,17,White,Yes
Pennsylvania,2004,Female,40,Black,Not Hispanic,Unknown,0,Unknown,No
Pennsylvania,2004,Male,23,Black,Not Hispanic,Male,22,Black,Yes
Colorado,2004,Male,1,White,Unknown,Male,20,Black,Yes
Texas,2004,Female,0,White,Hispanic,Male,27,White,Yes
New York,2004,Male,45,White,Unknown,Male,0,Black,Yes
Florida,2004,Female,51,White,Unknown,Male,23,White,Yes
Pennsylvania,2004,Male,25,Black,Not Hispanic,Unknown,0,Unknown,No
Nevada,2004,Female,67,White,Unknown,Male,47,White,Yes
Washington,2004,Male,34,White,Unknown,Male,20,White,Yes
Texas,2004,Male,24,White,Hispanic,Male,0,White,Yes
Florida,2004,Male,69,Black,Unknown,Male,37,Black,Yes
Texas,2004,Male,18,White,Unknown,Male,33,Black,Yes
Maryland,2004,Male,24,Black,Unknown,Female,26,Black,Yes
Indiana,2004,Female,49,White,Unknown,Male,55,White,Yes
California,2004,Male,26,Black,Not Hispanic,Male,23,Black,Yes
California,2004,Male,29,White,Hispanic,Male,20,White,Yes
Nevada,2004,Male,21,Black,Unknown,Unknown,0,Unknown,No
Indiana,2004,Female,44,White,Unknown,Male,62,Black,Yes
Illinois,2004,Male,31,White,Unknown,Unknown,0,Unknown,No
Texas,2004,Male,64,White,Hispanic,Unknown,0,Unknown,No
Texas,2004,Male,31,White,Hispanic,Unknown,0,Unknown,No
Wisconsin,2004,Female,56,White,Unknown,Male,48,White,Yes
Pennsylvania,2004,Male,25,Black,Not Hispanic,Unknown,0,Unknown,No
Virginia,2004,Male,18,Black,Unknown,Male,18,Black,Yes
Kansas,2004,Female,85,White,Unknown,Male,55,White,Yes
Pennsylvania,2004,Male,21,Black,Not Hispanic,Unknown,0,Unknown,No
Georgia,2004,Male,28,Black,Not Hispanic,Male,27,Black,Yes
Texas,2004,Female,34,White,Hispanic,Male,31,White,Yes
Texas,2004,Male,58,Black,Not Hispanic,Female,54,Black,Yes
Illinois,2004,Male,18,Black,Unknown,Unknown,0,Unknown,No
Illinois,2004,Female,42,White,Unknown,Male,42,White,Yes
Texas,2004,Male,15,White,Hispanic,Male,0,White,Yes
Florida,2004,Female,41,Black,Unknown,Male,46,Black,Yes
Virginia,2004,Male,20,Black,Unknown,Male,29,Black,Yes
Maryland,2004,Male,25,Black,Unknown,Male,18,Black,Yes
Oklahoma,2004,Male,69,Native American/Alaska Native,Unknown,Male,47,Native American/Alaska Native,Yes
Florida,2004,Male,28,Black,Unknown,Unknown,0,Unknown,No
New Mexico,2004,Male,64,White,Unknown,Male,26,White,Yes
California,2004,Male,30,Black,Not Hispanic,Unknown,0,Unknown,No
New Mexico,2004,Male,41,White,Unknown,Unknown,0,Unknown,No
Ohio,2004,Male,28,Black,Unknown,Unknown,0,Unknown,No
Colorado,2004,Male,62,White,Unknown,Unknown,0,Unknown,No
Texas,2004,Male,38,Black,Not Hispanic,Male,65,Black,Yes
California,2004,Male,21,White,Not Hispanic,Male,20,White,Yes
California,2004,Female,27,Black,Not Hispanic,Unknown,0,Unknown,No
Oregon,2004,Male,5,White,Not Hispanic,Male,33,White,Yes
California,2004,Male,19,Black,Not Hispanic,Male,35,White,Yes
Nevada,2004,Male,35,White,Unknown,Unknown,0,Unknown,No
California,2004,Male,29,Black,Not Hispanic,Male,37,Black,Yes
Maryland,2004,Male,28,Black,Unknown,Male,26,Black,Yes
Maryland,2004,Male,21,Black,Unknown,Unknown,0,Unknown,No
Idaho,2004,Male,54,White,Unknown,Male,41,White,Yes
Pennsylvania,2004,Male,29,Black,Not Hispanic,Unknown,0,Unknown,No
Utah,2004,Male,31,White,Unknown,Male,17,White,Yes
Tennessee,2004,Male,32,Black,Unknown,Male,36,White,Yes
Tennessee,2004,Male,27,Black,Unknown,Male,26,Black,Yes
Louisiana,2004,Male,23,Black,Unknown,Male,0,Black,Yes
Michigan,2004,Female,50,White,Unknown,Male,46,Black,Yes
Kansas,2004,Male,6,White,Unknown,Male,53,White,Yes
Texas,2004,Female,46,White,Not Hispanic,Male,47,White,Yes
Maryland,2004,Female,0,White,Unknown,Female,13,White,Yes
New York,2004,Male,47,White,Unknown,Male,76,White,Yes
California,2004,Male,25,Black,Not Hispanic,Unknown,0,Unknown,No
California,2004,Male,28,White,Hispanic,Male,23,White,Yes
New Jersey,2004,Female,55,White,Unknown,Male,52,White,Yes
Ohio,2004,Female,49,Black,Unknown,Male,51,Black,Yes
Hawaii,2004,Female,7,White,Unknown,Female,40,White,Yes
Michigan,2004,Female,54,Black,Unknown,Male,58,White,Yes
Florida,2004,Male,33,White,Unknown,Unknown,0,Unknown,No
District of Columbia,2004,Male,15,Black,Not Hispanic,Unknown,0,Unknown,No
District of Columbia,2004,Male,43,Black,Not Hispanic,Unknown,0,Unknown,No
California,2004,Male,62,White,Not Hispanic,Unknown,0,Unknown,No
Missouri,2004,Male,60,White,Unknown,Male,59,White,Yes
Missouri,2004,Male,47,White,Not Hispanic,Male,29,White,Yes
Louisiana,2004,Male,1,Black,Unknown,Female,24,Black,Yes
Pennsylvania,2004,Female,4,White,Not Hispanic,Male,25,White,Yes
Kentucky,2004,Female,54,White,Unknown,Unknown,0,Unknown,No
Pennsylvania,2004,Male,26,Black,Not Hispanic,Male,0,Black,Yes
Maryland,2004,Male,29,White,Unknown,Male,20,Black,Yes
Arizona,2004,Male,16,White,Hispanic,Unknown,0,Unknown,No
Texas,2004,Female,40,White,Hispanic,Unknown,0,Unknown,No
Nevada,2004,Male,99,Black,Unknown,Unknown,0,Unknown,No
Georgia,2004,Male,29,Black,Unknown,Male,44,Black,Yes
Colorado,2004,Male,44,White,Unknown,Male,16,White,Yes
Ohio,2004,Male,30,Black,Unknown,Unknown,0,Unknown,No
Tennessee,2004,Male,48,Black,Unknown,Unknown,0,Unknown,No
Ohio,2004,Male,23,White,Unknown,Male,25,White,Yes
Georgia,2004,Male,37,Asian/Pacific Islander,Unknown,Unknown,0,Unknown,No
Arizona,2004,Male,20,White,Hispanic,Unknown,0,Unknown,No
New Mexico,2004,Female,65,White,Unknown,Male,17,White,Yes
Arizona,2004,Male,17,White,Hispanic,Unknown,0,Unknown,No
Pennsylvania,2004,Male,24,Black,Not Hispanic,Unknown,0,Unknown,No
Louisiana,2004,Female,24,Black,Unknown,Male,23,Black,Yes
Pennsylvania,2004,Male,19,White,Not Hispanic,Male,24,White,Yes
Maryland,2004,Male,53,White,Unknown,Male,42,White,Yes
Louisiana,2004,Male,0,Black,Unknown,Male,21,Black,Yes
Alabama,2004,Female,15,White,Unknown,Male,40,White,Yes
New York,2004,Male,20,White,Unknown,Male,15,White,Yes
California,2004,Male,18,Black,Not Hispanic,Male,20,Black,Yes
Oklahoma,2004,Male,64,Black,Unknown,Unknown,0,Unknown,No
Kansas,2004,Male,19,White,Unknown,Male,20,White,Yes
Virginia,2004,Male,23,White,Unknown,Male,40,White,Yes
New York,2004,Male,20,Black,Unknown,Male,29,Black,Yes
Louisiana,2004,Male,48,Black,Unknown,Male,36,Black,Yes
Louisiana,2004,Female,21,Black,Unknown,Unknown,0,Unknown,No
Ohio,2004,Male,43,Black,Unknown,Unknown,0,Unknown,No
Texas,2004,Female,35,Black,Not Hispanic,Unknown,0,Unknown,No
California,2004,Male,19,White,Unknown,Unknown,0,Unknown,No
Arkansas,2004,Male,68,Black,Unknown,Unknown,0,Unknown,No
Texas,2004,Male,32,Black,Not Hispanic,Male,20,Black,Yes
Arizona,2004,Female,52,White,Hispanic,Male,57,White,Yes
Florida,2004,Male,26,Black,Unknown,Unknown,0,Unknown,No
Connecticut,2004,Male,47,White,Unknown,Male,45,White,Yes
Maryland,2004,Female,15,White,Unknown,Unknown,0,Unknown,No
Kentucky,2004,Female,44,White,Unknown,Male,41,White,Yes
Ohio,2004,Female,80,White,Unknown,Male,21,Black,Yes
New York,2004,Male,0,White,Unknown,Female,16,White,Yes
Tennessee,2004,Female,38,White,Unknown,Male,48,Black,Yes
Oregon,2004,Male,32,White,Not Hispanic,Male,25,White,Yes
Iowa,2004,Male,52,White,Unknown,Male,23,White,Yes
Pennsylvania,2004,Male,21,Black,Not Hispanic,Male,28,White,Yes
Texas,2004,Male,49,Black,Not Hispanic,Female,24,Black,Yes
South Carolina,2004,Female,41,White,Unknown,Unknown,0,Unknown,No
New York,2004,Female,60,White,Unknown,Female,58,White,Yes
Nevada,2004,Male,22,White,Unknown,Male,43,Black,Yes
New Jersey,2004,Male,18,White,Unknown,Male,19,White,Yes
California,2004,Male,51,White,Hispanic,Unknown,0,Unknown,No
Colorado,2004,Male,23,White,Unknown,Male,27,Black,Yes
Arizona,2004,Female,41,White,Hispanic,Unknown,0,Unknown,No
Georgia,2004,Male,36,Black,Unknown,Male,22,Black,Yes
California,2004,Male,22,Black,Not Hispanic,Male,37,White,Yes
Michigan,2004,Female,17,Black,Unknown,Male,25,Black,Yes
Florida,2004,Male,42,Black,Unknown,Unknown,0,Unknown,No
District of Columbia,2004,Male,18,Black,Not Hispanic,Unknown,0,Unknown,No
South Carolina,2004,Male,23,White,Unknown,Male,25,White,Yes
New York,2004,Male,24,White,Unknown,Male,34,White,Yes
Georgia,2004,Male,38,Black,Unknown,Unknown,0,Unknown,No
Texas,2004,Male,18,White,Hispanic,Male,19,White,Yes
California,2004,Male,37,Black,Not Hispanic,Unknown,0,Unknown,No
Arizona,2004,Male,55,White,Hispanic,Male,16,White,Yes
Arkansas,2004,Male,56,Black,Unknown,Unknown,0,Unknown,No
South Carolina,2004,Male,44,Black,Unknown,Male,29,Black,Yes
Florida,2004,Male,21,Black,Unknown,Female,26,Black,Yes
Pennsylvania,2004,Male,20,White,Hispanic,Male,23,White,Yes
California,2004,Male,30,Black,Not Hispanic,Unknown,0,Unknown,No
Tennessee,2004,Male,25,White,Unknown,Male,31,Black,Yes
Illinois,2004,Male,19,Black,Unknown,Male,16,Black,Yes
Ohio,2004,Male,54,White,Unknown,Male,46,White,Yes
Pennsylvania,2004,Female,34,White,Not Hispanic,Male,47,White,Yes
Florida,2004,Male,36,Black,Unknown,Male,29,Black,Yes
California,2004,Male,21,White,Hispanic,Male,30,White,Yes
Texas,2004,Male,36,White,Hispanic,Unknown,0,Unknown,No
Maryland,2004,Male,20,Black,Unknown,Unknown,0,Unknown,No
Delaware,2004,Female,24,White,Unknown,Female,22,White,Yes
Ohio,2004,Male,41,Black,Unknown,Male,22,Black,Yes
California,2004,Male,29,Black,Not Hispanic,Unknown,0,Unknown,No
