Illinois,2014,51-60,3
Alaska,2004,11-20,1
Michigan,2004,61-70,2
Arizona,2005,11-20,9
Oregon,2013,61-70,1
Maryland,2006,21-30,26
Oklahoma,2004,11-20,1
New Mexico,2012,21-30,3
Texas,2004,0-10,5
Texas,2006,31-40,24
North Carolina,2007,21-30,16
North Carolina,2010,31-40,8
Delaware,2004,11-20,1
West Virginia,2007,51-60,1
North Carolina,2004,41-50,8
New York,2012,81-90,2
Virginia,2013,31-40,2
Arizona,2010,71-80,1
Rhodes Island,2007,31-40,1
New Jersey,2013,0-10,1
Illinois,2005,11-20,9
Indiana,2008,21-30,10
New Jersey,2013,41-50,2
Alaska,2008,31-40,1
Florida,2009,41-50,24
New Jersey,2004,71-80,1
Georgia,2006,51-60,4
Texas,2009,71-80,1
Pennsylvania,2011,21-30,21
South Carolina,2014,81-90,1
Florida,2005,31-40,17
South Dakota,2005,41-50,1
Maine,2008,71-80,1
Virginia,2014,above 90,3
Minnesota,2006,above 90,1
Georgia,2013,11-20,4
Missouri,2008,11-20,8
New York,2007,0-10,2
Missouri,2006,31-40,6
Kansas,2007,61-70,1
Mississippi,2013,21-30,6
Virginia,2012,21-30,9
Delaware,2014,0-10,1
Oklahoma,2004,31-40,2
North Carolina,2009,51-60,5
Nevada,2012,21-30,3
Colorado,2011,21-30,5
Georgia,2014,11-20,6
Connecticut,2008,81-90,2
Iowa,2008,51-60,1
Oklahoma,2006,41-50,5
Arkansas,2006,41-50,3
Michigan,2004,41-50,7
Missouri,2006,51-60,4
New Jersey,2013,61-70,1
New Mexico,2007,61-70,2
Oregon,2009,71-80,1
Oklahoma,2004,21-30,7
Michigan,2013,61-70,6
Kentucky,2010,above 90,2
Wisconsin,2013,41-50,1
Virginia,2008,31-40,3
Washington,2004,above 90,3
Vermont,2014,51-60,1
South Carolina,2008,41-50,3
Massachusetts,2010,21-30,9
Delaware,2012,41-50,1
Massachusetts,2006,above 90,4
New Hampshire,2013,31-40,1
Arkansas,2013,41-50,2
Louisiana,2009,81-90,1
Mississippi,2011,above 90,2
Tennessee,2005,11-20,5
Washington,2010,61-70,1
Kansas,2013,61-70,1
Kansas,2014,above 90,1
Kentucky,2013,21-30,3
New York,2004,11-20,12
California,2006,31-40,45
Kentucky,2014,51-60,2
Tennessee,2012,61-70,2
Illinois,2007,above 90,3
West Virginia,2011,31-40,1
Indiana,2012,above 90,6
Connecticut,2011,21-30,8
California,2006,51-60,16
New Jersey,2005,21-30,14
New Mexico,2014,11-20,2
Tennessee,2007,61-70,2
Iowa,2013,21-30,1
Pennsylvania,2010,41-50,8
Texas,2010,41-50,17
California,2008,51-60,11
Kentucky,2007,51-60,2
Nevada,2005,11-20,4
Texas,2010,61-70,6
Minnesota,2005,41-50,2
New York,2010,61-70,1
Oklahoma,2005,61-70,1
Washington,2013,51-60,5
Virginia,2012,31-40,3
Oregon,2011,41-50,1
Virginia,2009,11-20,6
Colorado,2005,71-80,1
Florida,2008,51-60,7
West Virginia,2009,31-40,2
Oregon,2004,71-80,1
Missouri,2012,11-20,7
New York,2006,81-90,1
California,2008,81-90,1
Mississippi,2006,51-60,2
Arkansas,2006,71-80,1
Missouri,2005,61-70,1
New York,2010,21-30,30
Montana,2009,31-40,1
Arizona,2006,41-50,10
Ohio,2014,above 90,5
Virginia,2004,81-90,1
Arizona,2011,71-80,1
Georgia,2014,21-30,23
Illinois,2005,31-40,1
Oklahoma,2014,0-10,1
Michigan,2004,above 90,6
South Carolina,2014,21-30,13
California,2005,51-60,16
Indiana,2006,41-50,4
Nevada,2008,21-30,4
Illinois,2011,above 90,4
Florida,2011,0-10,3
North Carolina,2008,51-60,4
Ohio,2012,above 90,4
Georgia,2008,above 90,3
Florida,2010,41-50,9
Wisconsin,2013,51-60,3
Nevada,2011,21-30,2
Texas,2006,11-20,15
Pennsylvania,2012,81-90,1
Missouri,2004,41-50,3
Washington,2014,11-20,1
Nevada,2012,31-40,4
Massachusetts,2014,11-20,1
Pennsylvania,2010,51-60,7
North Carolina,2009,31-40,10
Texas,2007,31-40,22
Wisconsin,2007,21-30,5
Nevada,2012,above 90,1
Georgia,2007,above 90,9
Nevada,2008,31-40,2
Montana,2008,41-50,1
Nevada,2008,61-70,1
Arizona,2008,41-50,5
New Mexico,2010,51-60,2
Louisiana,2011,61-70,3
District of Columbia,2009,41-50,4
California,2007,51-60,11
Arizona,2009,71-80,2
Maryland,2011,41-50,9
West Virginia,2007,21-30,2
Florida,2011,21-30,46
Arizona,2010,11-20,4
Nevada,2013,51-60,1
Pennsylvania,2013,11-20,9
Arkansas,2013,61-70,1
Maryland,2014,41-50,6
South Carolina,2011,51-60,3
District of Columbia,2010,11-20,4
New Mexico,2005,51-60,1
Arkansas,2013,21-30,2
Missouri,2014,above 90,7
Nebraska,2010,21-30,2
Ohio,2013,31-40,12
Maryland,2005,61-70,1
Massachusetts,2011,41-50,1
Washington,2009,41-50,2
Texas,2008,61-70,3
West Virginia,2007,31-40,1
Colorado,2013,21-30,5
Texas,2009,31-40,34
Maryland,2014,above 90,2
New Jersey,2007,0-10,1
Louisiana,2007,21-30,16
Virginia,2013,61-70,1
Georgia,2007,31-40,6
Nevada,2004,41-50,2
New Hampshire,2005,above 90,1
Nevada,2005,31-40,2
Mississippi,2007,above 90,2
Arizona,2008,above 90,6
Texas,2012,31-40,24
West Virginia,2005,41-50,1
Florida,2007,above 90,12
Connecticut,2014,31-40,1
North Carolina,2008,61-70,4
Maryland,2006,31-40,14
New York,2010,31-40,17
Nebraska,2004,21-30,1
Tennessee,2008,51-60,5
Ohio,2007,31-40,4
Oklahoma,2011,31-40,5
Rhodes Island,2005,above 90,1
Georgia,2005,11-20,9
Alaska,2012,0-10,1
Washington,2008,21-30,5
California,2013,31-40,30
District of Columbia,2011,31-40,2
Mississippi,2009,41-50,6
Pennsylvania,2013,41-50,11
New Mexico,2008,11-20,3
Maryland,2012,41-50,3
Alabama,2006,71-80,1
Indiana,2010,21-30,7
South Carolina,2010,21-30,7
Washington,2010,41-50,4
Michigan,2010,0-10,1
West Virginia,2007,0-10,1
Vermont,2006,31-40,1
Arkansas,2004,11-20,1
Illinois,2009,11-20,13
Ohio,2010,above 90,5
Alaska,2004,31-40,1
New Jersey,2008,81-90,1
Connecticut,2011,71-80,1
Maryland,2013,51-60,4
Michigan,2007,51-60,3
Oklahoma,2007,61-70,3
North Carolina,2008,0-10,2
Arkansas,2009,11-20,2
Illinois,2011,0-10,1
West Virginia,2010,above 90,1
Virginia,2006,51-60,3
Tennessee,2004,21-30,9
Iowa,2009,41-50,1
Alabama,2008,51-60,3
Indiana,2008,61-70,1
Alabama,2009,11-20,6
Maryland,2011,0-10,1
Louisiana,2007,41-50,6
Minnesota,2014,21-30,3
Texas,2005,above 90,17
Hawaii,2014,31-40,1
Maryland,2012,61-70,1
Maryland,2010,31-40,14
Rhodes Island,2012,41-50,1
