New Hampshire,2007,above 90,1
Oklahoma,2012,21-30,9
West Virginia,2004,11-20,1
Wisconsin,2014,31-40,2
North Carolina,2011,61-70,2
Tennessee,2005,41-50,5
New York,2008,11-20,15
Virginia,2013,61-70,3
Rhodes Island,2008,11-20,1
Virginia,2004,61-70,2
New Mexico,2012,21-30,2
Indiana,2013,51-60,2
Virginia,2005,above 90,15
Missouri,2011,21-30,15
Louisiana,2014,41-50,4
Alabama,2007,21-30,17
Colorado,2011,31-40,1
Virginia,2004,21-30,16
North Carolina,2011,above 90,14
Arizona,2007,41-50,3
Idaho,2007,51-60,1
Massachusetts,2012,above 90,7
Maryland,2009,above 90,29
Arkansas,2014,21-30,3
Nevada,2014,31-40,2
Florida,2012,11-20,10
Arkansas,2014,31-40,4
Nevada,2004,41-50,2
Texas,2011,above 90,51
Michigan,2013,41-50,4
Maryland,2006,21-30,8
New Jersey,2009,81-90,2
Utah,2011,41-50,3
California,2006,51-60,9
New York,2014,above 90,32
Missouri,2010,21-30,9
Georgia,2006,above 90,27
New Jersey,2009,41-50,6
Mississippi,2012,41-50,1
Connecticut,2005,above 90,4
Alaska,2004,above 90,2
New York,2005,21-30,12
Maryland,2005,21-30,7
Utah,2014,21-30,3
Iowa,2009,11-20,2
Alaska,2009,21-30,1
Arizona,2005,11-20,7
Illinois,2004,above 90,24
Utah,2007,31-40,2
Georgia,2014,31-40,5
Oklahoma,2006,above 90,4
Maryland,2013,31-40,5
Louisiana,2012,41-50,2
Georgia,2008,31-40,9
Oregon,2006,41-50,2
New Jersey,2006,21-30,8
Virginia,2010,above 90,7
Kentucky,2011,61-70,2
Florida,2013,11-20,13
Washington,2011,11-20,2
Florida,2006,71-80,2
Virginia,2011,above 90,13
Texas,2007,above 90,52
Ohio,2012,31-40,1
Ohio,2008,21-30,8
Arizona,2012,above 90,13
North Carolina,2010,41-50,2
Florida,2007,51-60,5
District of Columbia,2013,21-30,3
Alabama,2005,41-50,1
Massachusetts,2007,31-40,3
Louisiana,2013,61-70,1
New York,2010,61-70,1
Oklahoma,2013,21-30,7
Nevada,2012,11-20,2
Delaware,2012,11-20,1
Pennsylvania,2010,11-20,7
Delaware,2008,above 90,2
Kansas,2013,above 90,2
West Virginia,2010,51-60,2
Louisiana,2004,21-30,12
Minnesota,2012,21-30,1
Tennessee,2005,21-30,11
Michigan,2013,71-80,1
Pennsylvania,2011,61-70,1
North Carolina,2009,31-40,8
Ohio,2004,31-40,11
Michigan,2013,61-70,1
West Virginia,2006,11-20,1
Indiana,2008,above 90,21
Nebraska,2005,31-40,1
Texas,2004,71-80,2
Arkansas,2011,41-50,2
Pennsylvania,2010,above 90,26
New Hampshire,2011,21-30,1
Washington,2009,31-40,1
Maryland,2004,above 90,32
Missouri,2012,41-50,4
Michigan,2011,above 90,33
Utah,2005,above 90,2
Oklahoma,2010,31-40,1
Delaware,2012,above 90,1
Oregon,2009,31-40,1
Texas,2005,41-50,12
Pennsylvania,2006,31-40,4
Iowa,2014,61-70,1
Mississippi,2012,above 90,5
Missouri,2010,above 90,15
Michigan,2010,above 90,21
Arizona,2006,11-20,3
Kentucky,2010,31-40,2
Arkansas,2013,11-20,2
Colorado,2013,51-60,1
District of Columbia,2007,21-30,1
Pennsylvania,2014,51-60,2
Florida,2011,51-60,3
Tennessee,2009,11-20,7
Wyoming,2012,21-30,1
Kansas,2012,21-30,1
Indiana,2006,11-20,2
Pennsylvania,2004,11-20,11
Delaware,2006,above 90,3
Illinois,2011,11-20,9
Tennessee,2011,above 90,9
Arizona,2013,21-30,10
Louisiana,2008,41-50,4
Delaware,2008,51-60,1
Texas,2013,21-30,41
Ohio,2010,61-70,2
West Virginia,2005,51-60,1
Nevada,2008,31-40,1
North Carolina,2012,61-70,1
Texas,2007,81-90,1
Alaska,2014,31-40,2
Alabama,2005,31-40,2
Michigan,2012,61-70,1
Washington,2011,above 90,4
South Carolina,2011,31-40,9
Iowa,2004,21-30,2
North Carolina,2008,41-50,8
New Mexico,2010,81-90,1
